"","participant","list","gender","age","itemNr","ID","expression","response"
"455","12","BA","f","35+",15,"nte1","nte",5
"456","12","BA","f","35+",16,"juhu2","juhu",5
"457","12","BA","f","35+",17,"hechakuaa1","hechakuaa",5
"458","12","BA","f","35+",18,"hei2","hei",5
"459","12","BA","f","35+",19,"NRRC1","NRRC",5
"460","12","BA","f","35+",20,"controlA3","control",1
"461","12","BA","f","35+",21,"controlB1","control",1
"463","12","BA","f","35+",23,"moa1","moa",5
"464","12","BA","f","35+",24,"possNP2","possNP",5
"465","12","BA","f","35+",25,"kuaauka1","kuaauka",1
"466","12","BA","f","35+",26,"haimete2","haimete",5
"467","12","BA","f","35+",27,"hecha1","hecha",1
"468","12","BA","f","35+",28,"mombeu2","mombeu",1
"469","12","BA","f","35+",29,"topa1","topa",1
"470","12","BA","f","35+",30,"controlB2","control",1
"471","12","BA","f","35+",31,"hechauka2","hechauka",5
"472","12","BA","f","35+",32,"kuaa1","kuaa",1
"473","12","BA","f","35+",33,"cos2","cos",5
"474","12","BA","f","35+",34,"hendu1","hendu",5
"475","12","BA","f","35+",35,"nte2","nte",5
"476","12","BA","f","35+",36,"juhu1","juhu",1
"477","12","BA","f","35+",37,"hechakuaa2","hechakuaa",5
"478","12","BA","f","35+",38,"hei1","hei",1
"479","12","BA","f","35+",39,"NRRC2","NRRC",5
"480","12","BA","f","35+",40,"controlB3","control",1
"481","13","AB","m","35-",1,"controlA1","control",3
"482","13","AB","m","35-",2,"vya1","vya",2
"483","13","AB","m","35-",3,"moa2","moa",3
"484","13","AB","m","35-",4,"possNP1","possNP",3
"485","13","AB","m","35-",5,"kuaauka2","kuaauka",5
"486","13","AB","m","35-",6,"haimete1","haimete",1
"487","13","AB","m","35-",7,"hecha2","hecha",1
"488","13","AB","m","35-",8,"mombeu1","mombeu",5
"489","13","AB","m","35-",9,"topa2","topa",3
"490","13","AB","m","35-",10,"controlA2","control",5
"491","13","AB","m","35-",11,"hechauka1","hechauka",3
"492","13","AB","m","35-",12,"kuaa2","kuaa",4
"493","13","AB","m","35-",13,"cos1","cos",3
"494","13","AB","m","35-",14,"hendu2","hendu",1
"495","13","AB","m","35-",15,"nte1","nte",1
"496","13","AB","m","35-",16,"juhu2","juhu",3
"497","13","AB","m","35-",17,"hechakuaa1","hechakuaa",3
"498","13","AB","m","35-",18,"hei2","hei",5
"499","13","AB","m","35-",19,"NRRC1","NRRC",5
"500","13","AB","m","35-",20,"controlA3","control",5
"501","13","AB","m","35-",21,"controlB1","control",4
"503","13","AB","m","35-",23,"moa1","moa",5
"504","13","AB","m","35-",24,"possNP2","possNP",5
"505","13","AB","m","35-",25,"kuaauka1","kuaauka",3
"506","13","AB","m","35-",26,"haimete2","haimete",3
"507","13","AB","m","35-",27,"hecha1","hecha",1
"508","13","AB","m","35-",28,"mombeu2","mombeu",1
"509","13","AB","m","35-",29,"topa1","topa",4
"510","13","AB","m","35-",30,"controlB2","control",5
"511","13","AB","m","35-",31,"hechauka2","hechauka",3
"512","13","AB","m","35-",32,"kuaa1","kuaa",3
"513","13","AB","m","35-",33,"cos2","cos",5
"514","13","AB","m","35-",34,"hendu1","hendu",5
"515","13","AB","m","35-",35,"nte2","nte",2
